instruction,context,response,category
"Jimmy bought 3 pens for school for $1 each, 4 notebooks for $3 each and 2 folders for $5 each. If he paid with a $50 bill, how much change will he get back?",,"Jimmy spent 3 * $1 = $<<3*1=3>>3 on pens.
He spent 4 * $3 = $<<4*3=12>>12 on notebooks.
He spent 2 * $5 = $<<2*5=10>>10 on folders.
He spent $3 + $12 + $10 = $<<3+12+10=25>>25 in total.
His change will be $50 - $25 = $<<50-25=25>>25.
#### 25",math_gsm8k
Fern buys one pair of high heels for $60 and five pairs of ballet slippers for 2/3rds of the price of the high heels. How much does she pay total?,,"First find the cost of one pair of ballet slippers: $60 * 2/3 = $<<60*2/3=40>>40
Then find the total cost of the ballet slippers: $40/pair * 5 pairs = $<<40*5=200>>200
Then add that amount to the cost of the high heels to find the total cost: $200 + $60 = $<<200+60=260>>260
#### 260",math_gsm8k
"The teacher divided the students into four groups. One group had 5 students, another 8 students, and the third 7 students. If there were 24 total students, how many students were in the fourth group?",,"There are 5+8+7=<<5+8+7=20>>20 students in the first three groups.
There are 24-20=<<24-20=4>>4 students in the fourth group.
#### 4",math_gsm8k
"Every hour past noon shadows from a building stretch an extra 5 feet, starting at zero at noon.  How long are the shadows from the building 6 hours past noon in inches?",,"If the shadows lengthen by 5 feet per hour, this means that in 6 hours the shadows would have lengthened from zero to 5*6=<<5*6=30>>30 feet.
Since there are 12 inches in every foot, this means the building's shadow would be 30*12= <<30*12=360>>360 inches in length.
#### 360",math_gsm8k
"A fox can run at the maximum speed of 50 kilometers per hour. Considering the fox would run at a constant speed, what distance would he make during 120 minutes?",,"1 hour is 60 minutes, so 120 minutes is 120 / 60 = <<120/60=2>>2 hours.
During one hour a fox can make 50 kilometers, so during two hours, he would be able to run 50 * 2 = <<50*2=100>>100 kilometers.
#### 100",math_gsm8k
"There were 40 kids on Lake Pleasant. A fourth of the kids went tubing, but only half of the tubers went rafting. How many of the kids who joined the rafting excursion were also on the tubing excursion?",,"40/4 = <<40/4=10>>10 kids went tubing.
10/2 = <<10/2=5>>5 kids went rafting and tubing.
#### 5",math_gsm8k
"At a convention, 16 of 36 delegates arrived with pre-printed name badges. Half of the remaining delegates made their own, hand-written name badges. How many delegates were not wearing name badges?",,"There were 36-16=<<36-16=20>>20 without pre-printed name badges.
Then 20/2=<<20/2=10>>10 made hand-written badges
There were 20-10=<<20-10=10>>10 with no name badge.
#### 10",math_gsm8k
"Edward the plumber is replacing a pipe in a bathroom wall.  He needs to use 40 feet of copper pipe to complete the job.  For every 5 feet of pipe, Edward must use one tightening bolt, and for every bolt, he uses two washers.  He buys a bag of 20 washers for the job.  After he completes the bathroom job, how many washers will be remaining in the bag?",,"If Edward needs to use 1 bolt per every five feet of piping, then for a job requiring 40-feet of piping, he will use 40/5 = <<40/5=8>>8 tightening bolts.
If for every 1 bolt he uses two washers, then he will need 8 * 2 = <<8*2=16>>16 washers to complete the job.
if he buys a bag containing 20 washers, and removes 16, he will have 20 - 16 = <<20-16=4>>4 washers remaining in the bag.
#### 4",math_gsm8k
Eric has 4 ninja throwing stars. His friend Chad has twice as many. Then Jeff bought 2 ninja stars from Chad. Jeff now has 6 throwing stars. How many ninja throwing stars do they have altogether?,,"We know Eric has 4 stars and Chad has twice that amount, so Chad has 4 x 2 = 8 stars.
Then Chad sells 2 of them to Jeff, so Chad has 8 ??2 = <<8-2=6>>6 stars.
Altogether, Eric has 4 + Chad has 6 + Jeff has 6 = <<4+6+6=16>>16 stars.
#### 16",math_gsm8k
Each dandelion produces 300 seeds. 1/3rd of the seeds land in water and die. 1/6 of the starting number are eaten by insects. Half the remainder sprout and are immediately eaten. How many dandelions survive long enough to flower?,,"First find the number of seeds that land in water: 300 seeds * 1/3 = <<300*1/3=100>>100 seeds
Then find the number of seeds that are eaten: 300 seeds * 1/6 = <<300*1/6=50>>50 seeds
Subtract the number of seeds that are destroyed to find the number that sprout: 300 seeds - 100 seeds - 50 seeds = <<300-100-50=150>>150 seeds
Then divide that number by 2 to find the number of sprouts that survive: 150 seeds / 2 = <<150/2=75>>75 seeds
#### 75",math_gsm8k
